"","address","bedroom","bathroom","carspace","soldprice","yearsold"
"26","7/15-19 Woorang Street Eastwood 2122",3,2,1,1270000,2016-05-16
"27","7/8 Birchgrove Crescent Eastwood 2122",3,2,2,1200000,2015-11-14
"28","1/575 Blaxland Road Eastwood 2122",3,1,2,952000,2015-06-15
"29","7/9 Cocos Avenue Eastwood 2122",3,2,2,1e+06,2015-06-06
"30","61 Birchgrove Crescent Eastwood 2122",3,2,1,905000,2014-11-21
"31","4/69 Tarrants Avenue Eastwood 2122",4,2,2,1201000,2014-10-11
"32","4/36 Balaclava Road Eastwood 2122",3,2,2,920000,2014-09-12
"33","8/8 Lovell Road Eastwood 2122",3,1,1,968000,2014-08-23
"34","10/69 Terry Road Eastwood 2122",4,2,2,950000,2014-07-22
"35","TH5/8 Birchgrove Crescent Eastwood 2122",3,2,2,1038888,2014-06-20
"36","2/69-71 Tarrants Avenue Eastwood 2122",4,2,4,8e+05,2014-05-17
"37","2/69 Tarrants Avenue Eastwood 2122",4,2,4,8e+05,2014-05-17
"38","3/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,2014-01-28
"39","498 Blaxland Road Eastwood 2122",2,2,1,882500,2013-11-26
"40","8/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,2013-09-26
"41","4/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,2013-09-26
"42","2/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,2013-09-26
"43","6/7 Corunna Road Eastwood 2122",2,NA,NA,565000,2013-05-01
"44","4/9 Cocos Avenue Eastwood 2122",3,2,2,780000,2013-04-09
"45","5/11 Clanalpine Street Eastwood 2122",2,1,1,680000,2013-04-01
"46","3/143 Balaclava Road Eastwood 2122",3,2,2,788000,2012-11-12
"47","19B Gordon Street Eastwood 2122",3,2,1,725000,2012-11-01
"48","1/21 Second Avenue Eastwood 2122",2,1,1,455000,2012-11-01
"49","4/36 Balaclava Road Eastwood 2122",3,2,2,688000,2012-09-29
"50","7/49 Terry Road Eastwood 2122",4,2,2,750000,2012-09-01
"51","2/14 Eric Street Eastwood 2122",3,2,2,635000,2012-07-01
"52","11/36 Lovell Road Eastwood 2122",2,1,NA,510000,2012-06-01
"53","2/41 Balaclava Road Eastwood 2122",3,2,2,676500,2012-06-01
"54","3/23 Vimiera Road Eastwood 2122",4,2,2,825000,2012-05-18
"55","1/167 North Road Eastwood 2122",3,2,2,820000,2012-05-18
"56","2/167 North Road Eastwood 2122",2,2,2,1120000,2012-04-01
"57","1/9 Threlfall Street Eastwood 2122",3,2,2,665000,2012-03-01
"58","16/10 Ethel Street Eastwood 2122",2,1,1,545000,2012-03-01
"59","17 Avondale Way Eastwood 2122",3,2,2,903888,2012-03-01
"60","4/4 Rutledge Street Eastwood 2122",2,1,NA,548000,2012-02-01
"61","3/12 Woorang Street Eastwood 2122",3,2,3,765000,2012-01-01
"62","7/18 Wentworth Road Eastwood 2122",3,1,2,7e+05,2012-01-01
"63","3/167 North Road Eastwood 2122",3,2,2,750000,2011-12-01
"64","7/36 Lovell Road Eastwood 2122",3,1,1,1123000,2011-12-01
"65","1/12 Woorang Street Eastwood 2122",4,2,2,899000,2011-10-04
"66","15/36 Balaclava Road Eastwood 2122",3,2,2,692000,2011-09-16
"67","1/11 Trelawney Street Eastwood 2122",2,2,1,1180000,2011-09-01
"68","2/15A Trelawney Street Eastwood 2122",3,2,2,6e+05,2011-09-01
"69","8/9-11 Threlfall Street Eastwood 2122",3,2,1,605000,2011-09-01
"70","1/4-6 Lincoln Street Eastwood 2122",3,2,2,865000,2011-08-23
"71","1/4-6 Lincoln Street Eastwood 2122",3,2,2,865000,2011-08-23
"72","2/23 Vimiera Road Eastwood 2122",3,2,1,765000,2011-08-01
"73","1/23 Vimiera Road Eastwood 2122",3,2,2,755000,2011-08-01
"74","3/20 Lincoln Street Eastwood 2122",3,1,2,695000,2011-06-01
"75","4/582 Blaxland Road Eastwood 2122",2,1,2,550000,2011-05-21
"76","1/4-6 Denistone Road Eastwood 2122",3,1,2,655500,2011-04-10
"77","1/4 Denistone Road Eastwood 2122",3,1,2,655500,2011-04-09
"78","4/145 BALACLAVA ROAD Eastwood 2122",3,2,2,760000,2011-03-29
"79","4/44 Fourth Avenue Eastwood 2122",2,1,1,866000,2011-03-01
"80","3/11 Trelawney Street Eastwood 2122",2,2,1,585000,2011-03-01
"81","2 17 Gordon Street Eastwood 2122",2,1,1,550000,2011-01-01
"82","2/17 Gordon Street Eastwood 2122",2,1,1,550000,2010-12-01
"83","24 Fonti Street Eastwood 2122",4,1,3,765000,2010-11-26
"84","4/64 Rutledge Street Eastwood 2122",3,2,NA,755000,2010-11-01
"85","2/577 Blaxland Road Eastwood 2122",2,1,1,860000,2010-11-01
"86","1/40 Denistone Road Eastwood 2122",2,1,2,570000,2010-11-01
"87","5/26-28 Brush Road Eastwood 2122",3,2,2,528000,2010-09-30
"88","8/18 Wentworth Road Eastwood 2122",3,1,2,680000,2010-09-01
"89","1/21 Alexandria Avenue Eastwood 2122",3,1,1,704000,2010-08-01
"90","2/17 Clanwilliam Street Eastwood 2122",3,1,1,650000,2010-07-28
"91","1/602-604 Blaxland Road Eastwood 2122",2,1,2,560000,2010-07-07
"92","2/112 Vimiera Road Eastwood 2122",3,2,1,599900,2010-05-01
"93","3/112 Vimiera Road Eastwood 2122",3,2,1,599900,2010-05-01
"94","4/4 Susan Place Eastwood 2122",3,2,1,1290000,2010-05-01
"95","4/30 Fourth Avenue Eastwood 2122",3,1,1,608000,2010-04-01
"96","10/64a Brush Road Eastwood 2122",3,1,2,550000,2010-02-25
"97","2/27-29 Munro Street Eastwood 2122",3,2,2,680000,2010-02-23
"98","4/69 Tarrants Avenue Eastwood 2122",3,3,3,750000,2010-02-13
"99","3/214 North Road Eastwood 2122",3,2,1,520500,2009-12-01
"100","5/49 Terry Road Eastwood 2122",3,2,2,635000,2009-11-01
"101","1/64 Rutledge Street Eastwood 2122",3,2,1,666000,2009-11-01
"102","16/36 Balaclava Road Eastwood 2122",3,2,2,6e+05,2009-09-01
"103","1/18 Clanalpine Street Eastwood 2122",2,2,1,575000,2009-09-01
"104","1/17 Rutledge Street Eastwood 2122",2,2,1,510000,2009-09-01
"105","6/74-76 Balaclava Road Eastwood 2122",3,2,1,575000,2009-06-01
"106","14/18 Doomben Avenue Eastwood 2122",2,1,1,335000,2009-04-01
"107","3/26 Third Avenue Eastwood 2122",3,2,4,510000,2009-02-01
"108","4/16 Ethel STREET Eastwood 2122",2,1,1,375000,2008-11-21
"109","2/44 Fourth Avenue Eastwood 2122",2,1,1,475000,2008-10-04
"110","7/49 Terry Road Eastwood 2122",4,2,2,640000,2008-09-10
"111","2/93 Vimiera Road Eastwood 2122",2,1,1,710000,2008-09-01
"112","2/20 Lansdowne Street Eastwood 2122",3,2,2,639800,2008-09-01
"113","5/17 Rutledge Street Eastwood 2122",3,2,2,658000,2008-06-01
"114","3/6 Eric Street Eastwood 2122",2,1,1,482000,2008-05-16
"115","3/6 Eric Street Eastwood 2122",2,1,1,482000,2008-05-16
"116","1/3B Darvall Road Eastwood 2122",3,2,2,540000,2008-03-01
"117","1/44 Balaclava Road Eastwood 2122",3,2,2,575,2008-01-21
"118","1/44 Balaclava Road Eastwood 2122",3,2,2,575,2008-01-21
"119","19/36 Balaclava Road Eastwood 2122",4,2,2,635000,2007-12-07
"120","4/7 Sybil Street Eastwood 2122",2,1,1,459000,2007-12-01
"121","2/4 Rutledge Street Eastwood 2122",2,1,1,561000,2007-11-01
"122","8/6 Lovell Road Eastwood 2122",3,1,1,1e+06,2007-11-01
"123","2/55 Vimiera Road Eastwood 2122",3,2,2,536000,2007-10-01
"124","2/4 Denistone Road Eastwood 2122",2,1,1,460000,2007-10-01
"125","6/7 Sybil Street Eastwood 2122",2,2,1,481000,2007-09-01
"126","6/43 Balaclava Road Eastwood 2122",3,2,1,570000,2007-09-01
"127","7/27 Edgar Street Eastwood 2122",3,1,1,480000,2007-09-01
"128","3/4 Susan Place Eastwood 2122",3,2,2,567000,2007-08-01
"129","4/20 Clanalpine Street Eastwood 2122",3,1,1,575000,2007-08-01
"130","3/17 Gordon Street Eastwood 2122",3,2,2,595000,2007-07-01
"131","10/9 Threlfall Street Eastwood 2122",3,2,2,495000,2007-07-01
"132","3/3 Edgar Street Eastwood 2122",3,2,NA,1330000,2007-07-01
"133","3/1 Balaclava Road Eastwood 2122",4,2,2,620000,2007-07-01
"134","1/27 Munro Street Eastwood 2122",3,2,2,589000,2007-07-01
"135","1/20 Lansdowne Street Eastwood 2122",3,2,1,578000,2007-05-01
"136","2/6 Warrawong Street Eastwood 2122",3,2,3,550000,2007-04-01
"137","4/57 Vimiera Road Eastwood 2122",2,1,1,465000,2007-02-01
"138","4/63 Vimiera Road Eastwood 2122",3,2,2,617500,2007-01-01
"139","1/11 Clanalpine Street Eastwood 2122",3,2,NA,670000,2007-01-01
"140","4/21 Hunts Avenue Eastwood 2122",3,2,1,525000,2006-11-01
"141","3/26 Corunna Road Eastwood 2122",3,2,2,620000,2006-10-01
"142","2/11 Trelawney Street Eastwood 2122",2,2,1,435000,2006-09-01
"143","1/7 Sybil Street Eastwood 2122",2,2,1,470100,2006-08-01
"144","3/6 Warrawong Street Eastwood 2122",3,2,3,508000,2006-07-01
"145","1/26 Corunna Road Eastwood 2122",3,NA,NA,620000,2006-06-01
"146","2/24 Alexandria Avenue Eastwood 2122",3,1,1,488000,2006-04-01
"147","1/6 Lovell Road Eastwood 2122",3,1,2,443000,2006-04-01
"148","1/17 Vimiera Road Eastwood 2122",3,2,1,529000,2006-04-01
"149","2/37 Tallwood Avenue Eastwood 2122",2,2,1,473000,2006-03-01
"150","5/11 Trelawney Street Eastwood 2122",2,2,1,410000,2005-11-01
"151","1/5A Clanalpine Street Eastwood 2122",4,2,2,560000,2005-11-01
"152","2/5A Clanalpine Street Eastwood 2122",4,2,2,555000,2005-10-01
"153","6/17 Rutledge Street Eastwood 2122",3,2,2,540000,2005-09-01
"154","1/20 Culgoa Avenue Eastwood 2122",3,NA,NA,560000,2005-09-01
"155","3/635 Blaxland Road Eastwood 2122",3,NA,NA,5e+05,2005-09-01
"156","5/7 Sybil Street Eastwood 2122",2,2,1,455000,2005-09-01
"157","3/5A Clanalpine Street Eastwood 2122",4,2,2,561000,2005-08-01
"158","3/7 Sybil Street Eastwood 2122",3,NA,NA,532000,2005-08-01
"159","4/39 Norma Avenue Eastwood 2122",3,NA,NA,642000,2005-08-01
"160","3/6 Lovell Road Eastwood 2122",3,1,1,1140000,2005-07-01
"161","3/31 Alexandria Avenue Eastwood 2122",3,2,2,1150000,2005-07-01
"162","4/5A Clanalpine Street Eastwood 2122",3,1,1,560000,2005-07-01
"163","4/55 Vimiera Road Eastwood 2122",3,2,1,503000,2005-04-01
"164","1/39 Norma Avenue Eastwood 2122",3,NA,NA,669000,2005-02-01
"165","7/16 Ethel Street Eastwood 2122",2,1,1,339000,2005-02-01
"166","2/39 Norma Avenue Eastwood 2122",3,NA,NA,660000,2005-02-01
"167","2/21 Campbell Street Eastwood 2122",3,2,NA,620000,2004-12-01
"168","1/13 Third Avenue Eastwood 2122",3,2,1,632000,2004-12-01
"169","4/11 Trelawney Street Eastwood 2122",2,2,1,1030000,2004-12-01
"170","5/231 North Road Eastwood 2122",3,NA,NA,1130000,2004-12-01
"171","3/57 Vimiera Road Eastwood 2122",3,2,1,535000,2004-10-01
"172","3/27 Munro Street Eastwood 2122",3,2,NA,530000,2004-07-01
"173","4/50 Lovell Road Eastwood 2122",3,2,NA,535000,2004-05-01
"174","2/17 Edgar Street Eastwood 2122",2,NA,NA,445000,2004-04-01
"175","3/222 North Road Eastwood 2122",3,NA,NA,525000,2003-12-01
"176","8/9 Cocos Avenue Eastwood 2122",3,2,NA,619000,2003-11-01
"177","1/112 Vimiera Road Eastwood 2122",3,NA,NA,543000,2003-10-01
"178","8/17 Rutledge Street Eastwood 2122",2,NA,NA,520000,2003-08-01
"179","15/48 Balaclava Road Eastwood 2122",3,2,1,519000,2003-07-01
"180","5/1 Darvall Road Eastwood 2122",3,2,NA,502000,2003-05-01
"181","1/6 Warrawong Street Eastwood 2122",3,NA,NA,416000,2002-05-01
"182","8/27 Grove Street Eastwood 2122",3,2,1,453000,2002-03-01
"183","5/9 Cocos Avenue Eastwood 2122",3,2,NA,1325000,2002-02-01
"184","3/1 Orange Street Eastwood 2122",3,NA,NA,415000,2002-02-01
"185","2/27 Grove Street Eastwood 2122",3,2,2,450000,2002-02-01
"186","1/17-23 Rutledge Street Eastwood 2122",2,2,1,340000,2001-12-01
"187","8/36 Lovell Road Eastwood 2122",2,NA,NA,326500,2001-12-01
"188","4/14 Eric Street Eastwood 2122",2,1,1,359000,2001-10-01
"189","2/46 Gordon Street Eastwood 2122",3,2,1,415000,2001-07-01
"190","3/46 Gordon Street Eastwood 2122",3,2,2,421000,2001-07-01
"191","3/49 Terry Road Eastwood 2122",3,2,2,4e+05,2001-06-01
