"","address","bedroom","bathroom","carspace","soldprice","yearsold"
"72","3/23-25 Churchill Avenue Strathfield 2135",2,2,2,690000,2013-10-29
"73","1/62 Albert Road Strathfield 2135",4,3,2,1190000,2013-10-12
"74","5/76 Beresford Road Strathfield 2135",4,3,2,870000,2013-09-27
"75","5/52 BERESFORD ROAD Strathfield 2135",3,2,2,745000,2013-09-23
"76","33/1 Bennett Avenue Strathfield 2135",2,NA,NA,553000,2013-09-14
"77","2/379 LIVERPOOL ROAD Strathfield 2135",3,2,2,770000,2013-09-07
"78","54/1 Bennett Avenue Strathfield 2135",3,3,2,618000,2013-08-27
"79","2/20 Cooper Street Strathfield 2135",3,1,1,769000,2013-08-23
"80","3/3 Pilgrim Avenue Strathfield 2135",3,3,3,895000,2013-07-27
"81","7/20 Cooper Street Strathfield 2135",2,2,1,785000,2013-07-27
"82","3/55 Manson Road Strathfield 2135",4,2,2,765000,2013-07-27
"83","3/44 Beresford Road Strathfield 2135",3,2,2,775000,2013-07-04
"84","6/76 Beresford Road Strathfield 2135",4,3,2,870000,2013-06-11
"85","6/76-80 Beresford Road Strathfield 2135",4,3,2,870000,2013-06-11
"86","4/397 Liverpool Road Strathfield 2135",3,2,2,590000,2013-06-05
"87","11/15-19 Beresford Road Strathfield 2135",3,2,3,650000,2013-05-27
"88","11/15 Beresford Road Strathfield 2135",3,2,3,668000,2013-05-27
"89","3/25 Philip Street Strathfield 2135",2,2,2,635000,2013-05-13
"90","3/25 Philip St Strathfield 2135",2,2,2,635000,2013-05-13
"91","6/74 Beresford Road Strathfield 2135",4,3,2,870000,2013-05-01
"92","3/25 Phillip Street Strathfield 2135",2,2,1,635000,2013-03-01
"93","17/45 The Boulevarde Road Strathfield 2135",2,2,1,585000,2013-02-01
"94","11/523 Liverpool Road Strathfield 2135",3,2,3,586500,2012-12-06
"95","13/74-76 Beresford Road Strathfield 2135",2,2,2,735000,2012-11-10
"96","20/1 Fitzgerald Crescent Strathfield 2135",2,1,1,627500,2012-11-01
"97","13/76-80 Beresford Road Strathfield 2135",3,2,2,735000,2012-10-16
"98","13/485-491 Liverpool Road Strathfield 2135",3,1,2,465000,2012-10-06
"99","13/485 Liverpool Road Strathfield 2135",3,1,2,465000,2012-10-06
"100","13/74 Beresford Road Strathfield 2135",2,2,2,735000,2012-10-01
"101","3/5 Jersey Road Strathfield 2135",3,NA,NA,1530000,2012-08-01
"102","3/66 Beresford Road Strathfield 2135",3,2,2,790000,2012-05-26
"103","10/76 - 80 Beresford Road Strathfield 2135",3,3,2,725000,2012-05-05
"104","10/ 76 - 80 Beresford Road Strathfield 2135",3,3,2,725000,2012-05-05
"105","7/393 Liverpool Road Strathfield 2135",2,2,2,485000,2012-04-20
"106","7/393-395 Liverpool Road Strathfield 2135",2,2,2,485000,2012-04-20
"107","7/46 Beresford Road Strathfield 2135",3,2,2,785000,2012-04-17
"108","7/46 Beresford Rd Strathfield 2135",3,2,2,785000,2012-04-17
"109","10/55 Manson Road Strathfield 2135",4,2,2,755000,2012-04-02
"110","10/74-80 Beresford Road Strathfield 2135",3,3,2,725000,2012-03-11
"111","10/74 Beresford Road Strathfield 2135",3,3,2,725000,2012-03-01
"112","76 1-Mar Beresford Road Strathfield 2135",2,2,2,5e+05,2011-11-01
"113","3/15A Wonga Street Strathfield 2135",2,1,1,665000,2011-11-01
"114","3/101 Wentworth Road Strathfield 2135",3,1,2,650000,2011-10-29
"115","6/23 Churchill Avenue Strathfield 2135",2,1,2,565000,2011-10-20
"116","4/94 Albert Road Strathfield 2135",2,2,2,680000,2011-07-23
"117","11/74 Beresford Road Strathfield 2135",3,3,2,740000,2011-07-01
"118","5/397-399 Liverpool Road Strathfield 2135",3,2,2,552000,2011-06-20
"119","5/397 Liverpool Road Strathfield 2135",3,2,2,552000,2011-06-20
"120","4/52 Beresford Road Strathfield 2135",3,2,2,690000,2011-06-01
"121","6/52 Beresford Road Strathfield 2135",3,2,2,720000,2011-05-01
"122","4/55 Manson Road Strathfield 2135",4,2,2,1060000,2011-05-01
"123","11/393 Liverpool Road Strathfield 2135",3,2,NA,355000,2011-02-01
"124","5/393 Liverpool Road Strathfield 2135",2,2,2,505000,2010-10-25
"125","3/66 Beresford Road Strathfield 2135",3,3,2,740000,2010-10-23
"126","14/74-80 Beresford Road Strathfield 2135",3,2,2,754000,2010-10-09
"127","8/393-395 Liverpool Road Strathfield 2135",2,2,2,885000,2010-10-03
"128","7/44 Beresford Road Strathfield 2135",3,3,2,602000,2010-10-03
"129","6/44 Beresford Road Strathfield 2135",3,2,NA,640000,2010-10-03
"130","5/44 Beresford Road Strathfield 2135",3,2,NA,575500,2010-10-03
"131","4/44 Beresford Road Strathfield 2135",3,2,2,582000,2010-10-03
"132","2/44 Beresford Road Strathfield 2135",3,2,2,1210000,2010-10-03
"133","1/44 Beresford Road Strathfield 2135",3,2,2,660000,2010-10-03
"134","9/94-96 Albert Road Strathfield 2135",2,2,2,5e+05,2010-10-03
"135","9/55 Manson Road Strathfield 2135",4,2,2,675000,2010-10-01
"136","3/55 Manson Road Strathfield 2135",4,2,2,550000,2010-10-01
"137","9/523 Liverpool Road Strathfield 2135",3,2,2,450000,2010-09-30
"138","1/66 Beresford Road Strathfield 2135",3,2,2,1200000,2010-09-30
"139","3/23-25 Churchill Avenue Strathfield 2135",2,1,2,560000,2010-06-08
"140","1/1 Fitzgerald Crescent Strathfield 2135",2,1,2,465000,2010-05-07
"141","8/20 Cooper Street Strathfield 2135",2,2,2,688000,2010-05-01
"142","5/379 Liverpool Road Strathfield 2135",3,2,2,485000,2010-04-19
"143","5/379 Liverpool Road Strathfield 2135",3,2,2,485000,2010-04-01
"144","3/1 Fitzgerald Crescent Strathfield 2135",2,1,1,420000,2010-04-01
"145","3/62 Albert Road Strathfield 2135",3,2,2,7e+05,2010-03-10
"146","4/30 Homebush Road Strathfield 2135",3,2,2,662000,2010-03-01
"147","18/2 Duke Street Strathfield 2135",3,2,2,591500,2009-12-01
"148","4/94-96 Albert Road Strathfield 2135",2,2,2,630000,2009-12-01
"149","2/379 LIVERPOOL ROAD Strathfield 2135",3,2,2,457000,2009-11-30
"150","3/485 Liverpool Road Strathfield 2135",3,1,2,410000,2009-11-10
"151","6/11 Manson Road Strathfield 2135",2,2,1,6e+05,2009-09-01
"152","8/393 Liverpool Road Strathfield 2135",2,2,2,433000,2009-06-01
"153","1/3 Pilgrim Avenue Strathfield 2135",3,3,2,535000,2009-06-01
"154","1/46 Beresford Road Strathfield 2135",4,3,2,810000,2009-03-27
"155","7/20 Cooper Street Strathfield 2135",2,2,1,541000,2009-01-07
"156","2/417 Liverpool Road Strathfield 2135",2,1,2,420000,2008-12-01
"157","3/20 Cooper Street Strathfield 2135",2,2,1,567500,2008-09-20
"158","1/417 Liverpool Road Strathfield 2135",2,1,2,4e+05,2007-12-01
"159","1/52 Beresford Road Strathfield 2135",3,2,2,1152000,2007-11-01
"160","18/523 Liverpool Road Strathfield 2135",3,2,2,470000,2007-09-01
"161","3/417 Liverpool Road Strathfield 2135",2,1,2,655000,2007-07-01
"162","6/20 Cooper Street Strathfield 2135",2,2,1,550000,2007-05-01
"163","2/2 Duke Street Strathfield 2135",2,2,2,450000,2007-02-01
"164","15/2 Duke Street Strathfield 2135",2,2,2,530000,2006-12-01
"165","1/2 Duke Street Strathfield 2135",2,2,2,432500,2006-12-01
"166","1/25 Philip Street Strathfield 2135",2,2,2,775000,2006-10-01
"167","6/25 Philip Street Strathfield 2135",3,2,2,685000,2006-06-01
"168","7/55 Manson Road Strathfield 2135",4,2,1,560000,2006-04-01
"169","4/5 Jersey Road Strathfield 2135",3,1,2,648000,2006-03-01
"170","1/145A Wentworth Road Strathfield 2135",3,3,3,653000,2005-12-01
"171","2/74 Beresford Road Strathfield 2135",4,3,4,9e+05,2005-12-01
"172","3/62 Albert Road Strathfield 2135",3,2,2,240000,2005-10-01
"173","6/5 Jersey Road Strathfield 2135",3,2,NA,680000,2005-08-01
"174","3/52 Beresford Road Strathfield 2135",3,2,2,699000,2005-07-01
"175","3/393 Liverpool Road Strathfield 2135",2,2,2,7e+05,2005-04-01
"176","2/23 Churchill Avenue Strathfield 2135",2,1,1,407000,2005-04-01
"177","4/46 Beresford Road Strathfield 2135",3,3,NA,680000,2005-01-01
"178","6/46 Beresford Road Strathfield 2135",3,2,2,1240000,2004-12-01
"179","1/6 Homebush Road Strathfield 2135",3,2,NA,477500,2004-09-01
"180","4/20 Cooper Street Strathfield 2135",2,1,1,535000,2004-02-01
"181","1/20 Cooper Street Strathfield 2135",2,1,1,535000,2004-02-01
"182","1/21 Cooper Street Strathfield 2135",4,2,1,695000,2004-02-01
"183","1/95-99 Wentworth Road Strathfield 2135",3,2,2,545000,2003-12-18
"184","5/5 Jersey Road Strathfield 2135",3,NA,NA,770000,2003-10-01
"185","5/46 Beresford Road Strathfield 2135",4,3,NA,755000,2003-10-01
"186","7/74 Beresford Road Strathfield 2135",4,2,NA,780000,2003-10-01
"187","2/1 Pilgrim Avenue Strathfield 2135",3,NA,NA,4e+05,2003-10-01
"188","8/115 Wallis Avenue Strathfield 2135",3,1,NA,486000,2003-03-01
"189","4/88 Redmyre Road Strathfield 2135",2,NA,NA,965000,2002-12-01
"190","6/88 Redmyre Road Strathfield 2135",3,2,NA,905000,2002-11-01
"191","6/8 Lyons Street Strathfield 2135",2,2,1,410000,2002-01-01
"192","7/485 Liverpool Road Strathfield 2135",3,NA,NA,345000,2001-12-01
"193","6/379 Liverpool Road Strathfield 2135",3,NA,NA,382500,2001-10-01
"194","18/2-4 Duke Street Strathfield 2135",3,2,2,1525000,2001-10-01
"195","11/1 Fitzgerald Crescent Strathfield 2135",2,1,1,277000,2001-09-01
