"","address","bedroom","bathroom","carspace","soldprice","yearsold"
"50","4/58 St Ann Street Merrylands 2160",2,2,1,530000,2020-11-24
"51","4/7-9 Charlotte St Merrylands 2160",3,2,2,670000,2020-10-30
"52","32/100 Kenyons Road Merrylands 2160",3,2,2,570000,2020-10-09
"53","27/10-14 Arthur Street Merrylands 2160",2,1,1,520000,2020-10-01
"54","3/102-104 Lackey Street Merrylands 2160",3,2,2,620000,2020-09-14
"55","5/58-60 St Ann Street Merrylands 2160",2,2,1,530000,2020-09-10
"56","7/158-160 Railway Terrace Merrylands 2160",3,2,2,660000,2020-09-10
"57","2/22-24 Park Street Merrylands 2160",3,2,2,640100,2020-09-04
"58","4/11-13 Lansdowne Street Merrylands 2160",2,2,2,570000,2020-07-20
"59","5/21 St Ann Street Merrylands 2160",2,2,1,550000,2020-07-03
"60","17/59-61 Neil Street Merrylands 2160",2,1,1,425000,2020-06-27
"61","2/91 Sherwood Road Merrylands 2160",2,1,1,455000,2020-06-19
"62","5/36-38 Manchester Street Merrylands 2160",3,1,1,525000,2020-06-17
"63","4/102 Lackey Street Merrylands 2160",3,2,2,601000,2020-06-10
"64","9/59 Lavinia Street Merrylands 2160",3,3,2,595000,2020-05-15
"65","3/158-160 Railway Terrace Merrylands 2160",3,2,2,660000,2020-03-27
"66","6/49 Edna Avenue Merrylands 2160",3,1,1,650000,2020-03-13
"67","43/100 Kenyons Rd Merrylands 2160",3,2,2,615000,2020-03-11
"68","4/17-21 Paton Street Merrylands 2160",2,1,1,442275,2020-03-10
"69","8/6-8 Addlestone Road Merrylands 2160",3,1,1,646500,2019-12-20
"70","25/58 Lansdowne Street Merrylands 2160",3,2,2,675000,2019-12-19
"71","5/58 Lansdowne Street Merrylands 2160",2,2,2,585000,2019-12-13
"72","11/17 Willara Avenue Merrylands 2160",3,2,2,580000,2019-12-13
"73","1/16 Richardson Street Merrylands 2160",2,1,2,595000,2019-10-08
"74","7/6 Charlotte Street Merrylands 2160",3,3,3,690000,2019-09-16
"75","23/58 Lansdowne Street Merrylands 2160",3,2,2,650000,2019-07-01
"76","2/1-3 Holdsworth Street Merrylands 2160",3,2,1,635000,2019-06-19
"77","3/9-11 Derby street Merrylands 2160",3,2,1,710000,2019-05-09
"78","3/36-38 Manchester Street Merrylands 2160",3,1,1,480000,2019-03-15
"79","1/9-11 Kimberley Street Merrylands 2160",2,2,1,585000,2019-02-08
"80","2/6 Charlotte Street Merrylands 2160",2,2,1,590000,2019-01-30
"81","3/17 Lansdowne Street Merrylands 2160",2,1,2,5e+05,2019-01-21
"82","10/10-12 Wright Street Merrylands 2160",3,2,1,7e+05,2018-11-26
"83","45 Richardson Street Merrylands 2160",3,3,1,645000,2018-10-23
"84","6/21-23 Yeend Street Merrylands 2160",3,1,1,6e+05,2018-07-04
"85","7/35-37 Clarence Street Merrylands 2160",2,1,1,533333,2018-06-15
"86","1/92 Burnett Street Merrylands 2160",3,2,NA,750000,2018-06-01
"87","92 Burnett Street Merrylands 2160",2,2,2,650000,2018-06-01
"88","7/16 Rickard Street Merrylands 2160",2,1,1,645000,2018-05-26
"89","25/100 Kenyons Road Merrylands 2160",3,2,2,612500,2018-04-16
"90","49/100 Kenyons Road Merrylands 2160",3,2,2,650000,2018-03-10
"91","6/59-61 Lavinia Street Merrylands 2160",3,2,2,620000,2018-02-27
"92","8/23 Todd Street Merrylands 2160",3,1,2,580000,2018-02-19
"93","5/35 Lansdowne Street Merrylands 2160",3,2,2,7e+05,2017-11-21
"94","1/49 Edna Avenue Merrylands 2160",2,1,1,6e+05,2017-11-14
"95","13/58-60 St Ann Street Merrylands 2160",2,2,1,585000,2017-09-15
"96","7/21 St Ann Street Merrylands 2160",2,2,1,605000,2017-09-06
"97","3/10-12 Rickard Street Merrylands 2160",3,2,2,660000,2017-08-03
"98","4/1-3 Holdsworth Street Merrylands 2160",3,2,2,649995,2017-07-14
"99","5/117-119 John Street Merrylands 2160",3,2,2,660000,2017-06-03
"100","28/10-14 Arthur Street Merrylands 2160",2,1,2,605000,2017-06-02
"101","3/58 Lansdowne Street Merrylands 2160",3,2,2,751000,2017-05-20
"102","5/158 Railway Terrace Merrylands 2160",3,2,2,680000,2017-03-15
"103","3/11-13 Torrens Street Merrylands 2160",3,1,1,530000,2017-03-03
"104","7/11-11A Ellis Street Merrylands 2160",2,1,1,6e+05,2017-02-01
"105","9 - 11 Kimberley Street Merrylands 2160",3,3,2,655000,2016-12-23
"106","1/11-11A Ellis Street Merrylands 2160",3,2,1,623000,2016-12-17
"107","1/11-11A Ellis Street Merrylands 2160",3,2,1,623000,2016-12-17
"108","1/529 Merrylands Road Merrylands 2160",3,2,2,691010,2016-12-16
"109","15/58 Lansdowne Street Merrylands 2160",2,2,2,585500,2016-12-06
"110","3/9-11 Kimberley Street Merrylands 2160",2,2,1,560000,2016-10-26
"111","Unit 18/59-61 Neil Street Merrylands 2160",2,1,1,499000,2016-10-19
"112","1/7-9 Charlotte Street Merrylands 2160",3,2,2,690000,2016-09-15
"113","14/102-104 Lackey Street Merrylands 2160",2,1,1,515000,2016-08-12
"114","4/7-9 Charlotte Street Merrylands 2160",3,2,2,685100,2016-08-11
"115","2/7-9 Charlotte Street Merrylands 2160",3,2,1,662000,2016-07-18
"116","2/7-9 Ellis Street Merrylands 2160",3,2,2,628000,2016-06-08
"117","18 St Ann Street Merrylands 2160",3,3,1,890000,2016-05-12
"118","21/59 Neil Street Merrylands 2160",2,1,1,480000,2016-04-12
"119","3/35-37 Clarence Street Merrylands 2160",2,2,1,565000,2016-04-06
"120","7/100 Kenyons Road Merrylands 2160",4,3,2,675000,2016-03-24
"121","23/59-61 Neil Street Merrylands 2160",2,1,1,475000,2016-03-18
"122","14/57 Newman Street Merrylands 2160",2,1,1,540000,2016-03-11
"123","7/6-8 Addlestone Road Merrylands 2160",3,1,1,550000,2016-02-05
"124","1/9-11 Kimberely Street Merrylands 2160",2,2,1,510000,2016-01-16
"125","2/59 Lavinia Street Merrylands 2160",3,2,1,609000,2015-11-03
"126","1/126 - 128 John Street Merrylands 2160",3,2,2,690000,2015-10-09
"127","41/100 Kenyons Road Merrylands 2160",3,2,2,720000,2015-09-14
"128","1/6-8 Addlestone Road Merrylands 2160",3,2,2,630000,2015-08-29
"129","4/35 Clarence Street Merrylands 2160",2,2,1,585000,2015-08-21
"130","6/158-160 Railway Terrace Merrylands 2160",3,2,2,628000,2015-08-07
"131","1/35 Lansdowne Street Merrylands 2160",3,2,2,950000,2015-08-01
"132","3/21-23 Yeend Street Merrylands 2160",2,1,1,575888,2015-07-30
"133","1/49 Edna Avenue Merrylands 2160",2,1,1,561777,2015-07-29
"134","8/7-9 Ellis Street Merrylands 2160",3,2,1,620000,2015-07-21
"135","3/8 Carhullen Street Merrylands 2160",3,3,1,675000,2015-07-18
"136","3/20-22 Ellis Street Merrylands 2160",3,2,1,630000,2015-07-15
"137","5/7-9 Ellis Street Merrylands 2160",3,2,2,619000,2015-07-08
"138","2/26 Military Road Merrylands 2160",3,1,1,517000,2015-06-24
"139","11/17 Willara Avenue Merrylands 2160",3,1,2,590650,2015-05-27
"140","1/85 Chetwynd Road Merrylands 2160",3,2,1,640000,2015-05-20
"141","2/8 Carhullen Street Merrylands 2160",3,3,1,640000,2015-04-29
"142","17/59-61 Neil Street Merrylands 2160",2,1,1,430000,2015-04-20
"143","2/35-37 Clarence Street Merrylands 2160",3,2,1,585000,2015-04-17
"144","7/158 Railway Terrace Merrylands 2160",3,2,1,518000,2015-04-14
"145","1/1 Willara Avenue Merrylands 2160",3,1,1,615000,2015-03-06
"146","8/21 St. Ann Street Merrylands 2160",2,2,1,524500,2015-03-04
"147","3/17-21 Paton Street Merrylands 2160",2,1,1,408000,2015-03-04
"148","11/100 Kenyons Road Merrylands 2160",3,2,2,560000,2015-02-18
"149","5/20-22 Ellis Street Merrylands 2160",3,2,1,605000,2015-01-19
"150","4/9-11 Kimberley St Merrylands 2160",2,2,1,483000,2014-12-12
"151","1/158 Railway Terrace Merrylands 2160",3,2,2,510000,2014-12-05
"152","2/59 Lavinia Street Merrylands 2160",3,2,1,445000,2014-11-17
"153","20 Leigh Street Merrylands 2160",4,2,1,670000,2014-10-30
"154","7/352-356 Merrylands Road Merrylands 2160",3,2,1,522000,2014-10-13
"155","10/102-106 Lackey Street Merrylands 2160",3,2,2,519900,2014-10-03
"156","3/102-104 Lackey Street Merrylands 2160",3,2,2,517111,2014-09-26
"157","10A Rupert Street Merrylands 2160",4,3,1,680000,2014-09-09
"158","2/11-11A Ellis Street Merrylands 2160",3,2,1,543000,2014-09-03
"159","3/11-13 Torrens Street Merrylands 2160",3,1,1,450000,2014-08-30
"160","3/10-12 Wright Street Merrylands 2160",2,2,1,525000,2014-08-28
"161","32 Rita Street Merrylands 2160",3,2,2,615000,2014-08-27
"162","4/35 Lansdowne Street Merrylands 2160",2,2,1,470000,2014-07-08
"163","14/102-104 Lackey Street Merrylands 2160",2,1,1,456100,2014-07-07
"164","8/7-9 Ellis Street Merrylands 2160",3,2,1,535000,2014-07-04
"165","14/58 Lansdowne Street Merrylands 2160",2,2,1,470000,2014-06-17
"166","14/97 Sherwood Road Merrylands 2160",3,1,1,421800,2014-05-23
"167","1/102-106 Lackey Street Merrylands 2160",3,1,1,475000,2014-05-16
"168","5/158 Railway Terrace Merrylands 2160",3,2,2,507500,2014-05-13
"169","2 Matthew Street Merrylands 2160",3,2,2,585000,2014-05-10
"170","Unit 11/102-104 Lackey Street Merrylands 2160",3,3,2,485000,2014-05-09
"171","5/9 Kimberley St Merrylands 2160",3,2,2,525000,2014-05-05
"172","3/42-46 Sheffield Street Merrylands 2160",2,1,1,380000,2014-05-05
"173","5/6 Addlestone Road Merrylands 2160",3,1,1,427500,2014-04-26
"174","58/100 Kenyons Rd Merrylands 2160",4,3,2,563000,2014-04-14
"175","Unit 8/9-11 Kimberley Street Merrylands 2160",3,2,2,508000,2014-04-04
"176","2/16A Richardson Street Merrylands 2160",3,2,1,545325,2014-03-24
"177","5/26 Military Road Merrylands 2160",3,1,1,420000,2014-03-07
"178","4/17 Lansdowne Street Merrylands 2160",2,1,2,426500,2014-03-04
"179","9/102-104 Lackey Street Merrylands 2160",3,2,2,492000,2014-03-01
"180","36/100 Kenyons Rd Merrylands 2160",3,2,2,492000,2014-02-27
"181","17-19 Wallace Street Merrylands 2160",3,1,2,460000,2014-01-21
"182","9 Benedict Court Merrylands 2160",3,3,2,660000,2014-01-11
"183","4/11-13 Lansdowne Street Merrylands 2160",2,2,2,450000,2014-01-10
"184","4/11 Lansdowne Street Merrylands 2160",2,2,2,450000,2014-01-10
"185","4/121-123 John Street Merrylands 2160",3,2,2,510000,2013-12-06
"186","7/35 KIMBERLEY Street Merrylands 2160",2,2,1,460000,2013-11-29
"187","57A FOWLER Road Merrylands 2160",4,2,1,585000,2013-11-18
"188","19/100 Kenyons Road Merrylands 2160",3,1,2,458000,2013-11-08
"189","3/9-11 Kimberley Street Merrylands 2160",2,2,1,410000,2013-11-05
"190","3/35 KIMBERLEY STREET Merrylands 2160",4,3,2,515000,2013-10-28
"191","16/100 Kenyons Road Merrylands 2160",3,2,2,465000,2013-10-02
"192","5/11-11a Ellis Street Merrylands 2160",3,2,1,470000,2013-10-01
"193","11/17 Willara Ave Merrylands 2160",3,1,2,446000,2013-09-30
"194","8/117-119 John Street Merrylands 2160",4,2,2,525000,2013-09-28
"195","8/117 John Street Merrylands 2160",4,NA,NA,525000,2013-09-28
"196","3/121 John Street Merrylands 2160",3,2,1,486000,2013-08-23
"197","3/121-123 John Street Merrylands 2160",3,2,1,486000,2013-08-23
"198","6/21-23 Yeend Street Merrylands 2160",3,1,1,420000,2013-08-22
"199","6/21-23 Yeend st Merrylands 2160",3,1,1,420000,2013-08-22
"200","1/35 Kimberley Street Merrylands 2160",3,2,2,485000,2013-08-14
"201","1/35 KIMBERLEY STREET Merrylands 2160",3,2,2,485000,2013-08-14
"202","4/352-356 Merrylands Road Merrylands 2160",2,1,1,378000,2013-08-05
"203","32/58 Lansdowne Street Merrylands 2160",3,2,2,436000,2013-08-02
"204","3/36 Manchester Street Merrylands 2160",3,1,NA,370000,2013-08-01
"205","7/20 Todd Street Merrylands 2160",3,1,1,4e+05,2013-07-26
"206","7/11-11A Ellis Street Merrylands 2160",2,1,1,369000,2013-07-22
"207","7/17-21 Paton Street Merrylands 2160",2,1,1,337000,2013-07-02
"208","4/12 Rickard Street Merrylands 2160",3,2,1,418000,2013-06-25
"209","1/42-46 Sheffield Street Merrylands 2160",2,1,1,335505,2013-06-21
"210","1/42 Sheffield Street Merrylands 2160",2,1,1,335505,2013-06-21
"211","111A HAWKSVIEW ROAD Merrylands 2160",4,2,1,635000,2013-06-18
"212","3/58 Lansdowne Street Merrylands 2160",3,2,2,458000,2013-06-07
"213","4/10 Rickard Street Merrylands 2160",3,2,1,418000,2013-06-01
"214","1/85 Chetwynd Road Merrylands 2160",3,2,1,420000,2013-05-27
"215","4/35 Lansdowne Street Merrylands 2160",2,3,1,435000,2013-05-27
"216","1/57 Clarence Street Merrylands 2160",3,2,4,488000,2013-05-01
"217","1/57 Clarence Street Merrylands 2160",3,2,4,488000,2013-04-01
"218","1/12-14 Myall Street Merrylands 2160",3,2,1,370000,2013-03-01
"219","15/97 SHERWOOD ROAD Merrylands 2160",3,1,1,340000,2013-02-15
"220","15/97 SHERWOOD ROAD Merrylands 2160",3,1,1,340000,2013-02-15
"221","1/20 Todd Street Merrylands 2160",3,1,1,370000,2013-02-13
"222","3/7 Park Street Merrylands 2160",3,2,1,415000,2013-02-07
"223","24 Davies Street Merrylands 2160",4,2,1,450033,2013-01-15
"224","2/16 Rickard Street Merrylands 2160",3,2,1,435000,2013-01-02
"225","8/21 St Ann Street Merrylands 2160",2,2,1,350000,2012-12-23
"226","2/21 St Ann Street Merrylands 2160",2,2,1,410000,2012-12-23
"227","3/35 Lansdowne Street Merrylands 2160",3,3,1,455000,2012-12-14
"228","3/21 St Ann Street Merrylands 2160",2,1,1,610000,2012-12-01
"229","1-921 St Ann Street Merrylands 2160",2,2,1,438000,2012-11-01
"230","4/20 Todd Street Merrylands 2160",3,1,1,355000,2012-10-31
"231","3/21-23 Yeend Street Merrylands 2160",2,1,1,353688,2012-10-26
"232","2/23 Todd Street Merrylands 2160",3,1,1,355000,2012-10-24
"233","5/35 Lansdowne Street Merrylands 2160",3,3,1,450000,2012-10-19
"234","25/58 Lansdowne Street Merrylands 2160",3,2,2,440000,2012-10-15
"235","1/102-104 Lackey Street Merrylands 2160",2,1,1,395500,2012-10-12
"236","1/102 Lackey Street Merrylands 2160",2,1,1,395500,2012-10-12
"237","31/58 Lansdowne Street Merrylands 2160",3,2,4,429500,2012-10-09
"238","1/26 Manchester Street Merrylands 2160",2,1,1,312000,2012-10-01
"239","3/59 Lavinia Street Merrylands 2160",2,2,1,337500,2012-10-01
"240","7/117 John Street Merrylands 2160",4,2,2,480000,2012-10-01
"241","14/102 - 104 Lackey Street Merrylands 2160",2,1,1,312500,2012-09-29
"242","4/17 Willara Avenue Merrylands 2160",2,1,1,358000,2012-09-01
"243","8/102-104 Lackey Street Merrylands 2160",2,1,1,340000,2012-08-21
"244","1/59-61 Lavinia Street Merrylands 2160",2,1,1,325000,2012-08-11
"245","9/19-21 Oxford Street Merrylands 2160",3,2,2,365000,2012-08-04
"246","9/19 Oxford Street Merrylands 2160",3,2,1,365000,2012-08-01
"247","19/100 Kenyons Road Merrylands 2160",3,1,2,405000,2012-07-13
"248","4/26 Military Road Merrylands 2160",3,1,1,343215,2012-07-01
"249","6/9-11 Kimberley Street Merrylands 2160",3,2,2,4e+05,2012-06-05
"250","9/16 Rickard Street Merrylands 2160",3,2,2,380000,2012-06-01
"251","22/58 Lansdowne Street Merrylands 2160",3,2,2,409000,2012-05-31
"252","22/58 Lansdowne St Merrylands 2160",3,2,2,409000,2012-05-31
"253","1/11-13 Torrens Street Merrylands 2160",3,1,1,355000,2012-05-30
"254","11/197 Woodville Road Merrylands 2160",1,1,1,243000,2012-05-29
"255","4/36 Paton Street Merrylands 2160",2,1,2,360000,2012-05-25
"256","10/11-13 Ellis Street Merrylands 2160",2,1,1,365500,2012-05-18
"257","10/11 Ellis Street Merrylands 2160",2,1,1,365500,2012-05-18
"258","1/16 Richardson Street Merrylands 2160",2,1,1,340000,2012-04-20
"259","1/1-3 Holdsworth Street Merrylands 2160",2,2,1,415000,2012-04-10
"260","4/352-356 Merrylands Road Merrylands 2160",2,1,1,310000,2012-03-30
"261","3/100 Kenyons Road Merrylands 2160",3,2,2,405000,2012-03-20
"262","4/52 Newman Street Merrylands 2160",3,2,2,439888,2012-03-16
"263","7/71-73 Lavinia Street Merrylands 2160",3,3,1,415000,2012-03-06
"264","35 Kimberley Street Merrylands 2160",4,3,2,1200000,2012-03-01
"265","6/5 Mark Street Merrylands 2160",3,2,2,476000,2012-03-01
"266","2/11-13 Lansdowne Street Merrylands 2160",3,2,2,385000,2012-02-15
"267","24A Davies Street Merrylands 2160",4,2,1,422000,2012-01-05
"268","1/534a Merrylands Road Merrylands 2160",3,2,1,390000,2012-01-01
"269","7/5 Mark Street Merrylands 2160",3,2,2,454000,2012-01-01
"270","5/7-9 Ellis Street Merrylands 2160",3,2,1,405000,2011-12-31
"271","77 Hawksview Road Merrylands 2160",4,3,1,565000,2011-12-19
"272","3/35-37 Clarence Street Merrylands 2160",2,2,1,362800,2011-12-08
"273","12/58 Lansdowne Street Merrylands 2160",3,2,2,415000,2011-12-01
"274","1/21 St Ann Street Merrylands 2160",2,2,1,410000,2011-11-22
"275","23/58 Lansdowne Street Merrylands 2160",3,2,2,415000,2011-11-21
"276","6/10 Addlestone Road Merrylands 2160",2,2,1,378100,2011-11-18
"277","3/8 Carhullen Street Merrylands 2160",3,3,1,438000,2011-11-11
"278","57 Newman Street Merrylands 2160",2,2,1,349950,2011-11-01
"279","9/14 Rickard Street Merrylands 2160",3,2,2,430000,2011-11-01
"280","7/9 Kimberly Street Merrylands 2160",3,2,2,398000,2011-11-01
"281","7/9 Kimberley Street Merrylands 2160",3,2,2,396500,2011-10-01
"282","2/7 Park Street Merrylands 2160",3,2,2,4e+05,2011-10-01
"283","2/7-9 Ellis Street Merrylands 2160",3,2,1,405000,2011-09-30
"284","2/1-3 Holdsworth Street Merrylands 2160",3,2,1,397000,2011-09-26
"285","2/1 Holdsworth Street Merrylands 2160",3,2,1,397000,2011-09-26
"286","9/42-46 Sheffield St (also known as 9/59 Neil St Merrylands 2160",2,1,1,307000,2011-09-20
"287","7/21-23 Yeend Street Merrylands 2160",3,1,1,395000,2011-09-14
"288","7/21 Yeend Street Merrylands 2160",3,1,1,395000,2011-09-14
"289","2/58 Lansdowne St Merrylands 2160",2,2,2,379950,2011-09-11
"290","3 117 John Merrylands 2160",3,2,2,440000,2011-09-01
"291","3 119 John Merrylands 2160",3,2,2,440000,2011-09-01
"292","8/58 Lansdowne Street Merrylands 2160",2,2,1,360000,2011-08-11
"293","17/28-32 Treves Street Merrylands 2160",3,1,2,411000,2011-08-05
"294","8/7 Sheffield Street Merrylands 2160",3,2,1,335000,2011-08-01
"295","2/58 Lansdowne Street Merrylands 2160",2,2,2,379950,2011-08-01
"296","3/5 Mark Street Merrylands 2160",2,1,1,460000,2011-07-01
"297","2/5 Mark Street Merrylands 2160",2,1,1,460000,2011-07-01
"298","6/58 Lansdowne Street Merrylands 2160",3,2,2,410000,2011-06-28
"299","5/10 Addlestone Road Merrylands 2160",2,2,1,365500,2011-06-24
"300","5/126 John Street Merrylands 2160",3,2,2,420000,2011-05-18
"301","6/7 Charlotte Street Merrylands 2160",2,2,1,369000,2011-05-01
"302","11/100 Kenyons Rd Merrylands 2160",3,2,2,435000,2011-04-19
"303","4/11-13 Lansdowne Street Merrylands 2160",2,2,2,371000,2011-03-15
"304","4/11-13 Lansdowne Street - ARCHIVED 1 Merrylands 2160",2,2,2,371000,2011-03-15
"305","2/41 Richardson Street Merrylands 2160",3,2,1,405000,2011-03-07
"306","3/7 Charlotte Street Merrylands 2160",3,2,1,419000,2011-03-01
"307","7/41-43 Chetwynd Road Merrylands 2160",3,2,2,418000,2011-03-01
"308","7/41 Chetwynd Road Merrylands 2160",3,2,2,418000,2011-03-01
"309","3 Benedict Court Merrylands 2160",3,2,1,5e+05,2011-02-22
"310","4/1-3 willara Merrylands 2160",2,2,NA,379000,2011-02-15
"311","4/1 Willara Avenue Merrylands 2160",2,1,1,370000,2011-02-01
"312","4/1-3 willara Merrylands 2160",2,2,1,379000,2011-02-01
"313","8/7-9 Ellis Street Merrylands 2160",3,2,2,398000,2011-01-28
"314","7/35 Ellis Street Merrylands 2160",3,1,1,345000,2011-01-01
"315","10/6 Addlestone Road Merrylands 2160",3,1,1,350000,2010-12-06
"316","7/17 Willara Avenue Merrylands 2160",2,1,1,328500,2010-12-01
"317","4/352 Merrylands Road Merrylands 2160",2,1,1,320000,2010-12-01
"318","6 49 Edna Avenue Merrylands 2160",3,1,1,348000,2010-11-10
"319","2 352 Merrylands Road Merrylands 2160",2,1,1,310000,2010-11-10
"320","1/22-24 Park Street Merrylands 2160",3,2,1,417000,2010-10-26
"321","3/61 Merrylands Road Merrylands 2160",2,1,1,365000,2010-10-15
"322","6/17 Willara Avenue Merrylands 2160",2,1,1,3e+05,2010-10-03
"323","6/102 Lackey Street Merrylands 2160",3,2,2,303500,2010-09-30
"324","2/22 Park Street Merrylands 2160",3,2,1,380000,2010-09-29
"325","9-11 Derby Street Merrylands 2160",3,2,1,1060000,2010-08-01
"326","2/34-36 Richardson Street Merrylands 2160",3,2,1,392001,2010-07-07
"327","2/352 Merrylands Road Merrylands 2160",2,1,1,310000,2010-07-01
"328","2/102 Lackey Street Merrylands 2160",3,2,2,428000,2010-07-01
"329","4/6 Addlestone Road Merrylands 2160",3,1,1,390000,2010-06-01
"330","2/17-21 Paton Street Merrylands 2160",2,1,1,283000,2010-06-01
"331","4/36 Manchester Street Merrylands 2160",2,1,1,330000,2010-06-01
"332","9/11 Ellis Street Merrylands 2160",2,1,1,318000,2010-06-01
"333","100 Chetwynd Road Merrylands 2160",4,2,2,430000,2010-04-01
"334","8 Carhullen Street Merrylands 2160",3,3,2,405000,2010-04-01
"335","11/58 Lansdowne Street Merrylands 2160",2,2,2,360000,2010-03-12
"336","5/8 Carhullen Street Merrylands 2160",3,NA,NA,640000,2010-03-01
"337","26B Walker Street Merrylands 2160",2,1,1,380000,2010-03-01
"338","4/8 Carhullen Street Merrylands 2160",3,2,2,406000,2010-02-01
"339","4/17 Lansdowne Street Merrylands 2160",2,1,1,320000,2010-02-01
"340","16/58 Lansdowne Street Merrylands 2160",3,2,2,360000,2010-01-25
"341","1/39 CHETWYND ROAD Merrylands 2160",3,2,2,360000,2010-01-01
"342","1/39 Chetwyn Road Merrylands 2160",3,2,1,360000,2010-01-01
"343","49 Burnett Street Merrylands 2160",2,2,1,3e+05,2009-12-14
"344","25 Rita Street Merrylands 2160",3,1,1,381500,2009-11-17
"345","25 Rita Street Merrylands 2160",3,1,1,381500,2009-11-17
"346","8/352 Merrylands Road Merrylands 2160",2,2,1,359500,2009-11-01
"347","26/285 Merrylands Road Merrylands 2160",2,1,1,416000,2009-11-01
"348","3/20 Ellis Street Merrylands 2160",3,2,1,386000,2009-11-01
"349","9/1 Holdsworth Street Merrylands 2160",3,1,2,385000,2009-11-01
"350","7/352-356 Merrylands Road Merrylands 2160",3,2,2,320000,2009-10-19
"351","2/61 Merrylands Rd Merrylands 2160",2,2,1,365000,2009-09-18
"352","3/14 Wright Street Merrylands 2160",2,1,1,330000,2009-08-01
"353","8/35 Ellis Street Merrylands 2160",3,1,2,659950,2009-08-01
"354","3/19-21 Ellis Street Merrylands 2160",2,1,1,326000,2009-08-01
