"","address","bedroom","bathroom","carspace","soldprice","yearsold"
"89","7/151-155 Blaxcelell Street Granville 2142",3,2,1,517000,2014-10-09
"90","1/166-168 The Trongate Granville 2142",3,2,2,597000,2014-09-27
"91","7/151-155 Blaxcell Street Granville 2142",3,2,1,517000,2014-09-10
"92","Unit 7/40 Elizabeth Street Granville 2142",3,2,2,530000,2014-08-30
"93","8/151-155 BLAXCELL STREET Granville 2142",3,2,2,510000,2014-06-28
"94","Unit 10/110 Elizabeth Street Granville 2142",3,2,2,495000,2014-06-27
"95","1/1 Pegler Avenue Granville 2142",3,1,1,515000,2014-06-13
"96","19/162 William Street Granville 2142",3,2,2,502000,2014-05-26
"97","6/151 Blaxcell Street Granville 2142",3,2,1,503000,2014-05-17
"98","Unit 5/104 Elizabeth Street Granville 2142",3,2,2,518000,2014-05-02
"99","6/143-145 Blaxcell Street Granville 2142",2,2,1,424000,2014-04-09
"100","5/335-339 BLAXCELL STREET Granville 2142",3,2,1,392000,2014-03-15
"101","14/39-47 Wellington Road Granville 2142",3,2,2,441000,2014-03-14
"102","6/335-339 Blaxcell St Granville 2142",3,3,1,460000,2014-02-25
"103","1/149 Blaxcell Street Granville 2142",3,1,2,412000,2013-12-08
"104","6/23 Elizabeth Street Granville 2142",3,2,2,869800,2013-12-01
"105","4/104-110 Elizabeth Street Granville 2142",3,2,2,485000,2013-11-22
"106","5/9 Gray Street Granville 2142",2,1,2,475000,2013-11-11
"107","10/39 Wellington Road Granville 2142",2,2,1,370000,2013-10-04
"108","8/117 John Street Granville 2142",4,2,2,525000,2013-09-28
"109","16/104-110 Elizabeth Street Granville 2142",2,1,2,460200,2013-09-20
"110","16/104 Elizabeth Street Granville 2142",2,1,2,460200,2013-09-20
"111","1/92 Clyde Street Granville 2142",3,2,1,480150,2013-09-18
"112","2/40-42 Elizabeth Street Granville 2142",3,1,2,310000,2013-08-27
"113","7/143-145 Blaxcell Street Granville 2142",2,2,1,410000,2013-08-27
"114","7/143 Blaxcell Street Granville 2142",2,2,1,412000,2013-08-27
"115","4/317 Blaxcell Street Granville 2142",2,1,1,340000,2013-08-09
"116","4/317 BLAXCELL ST Granville 2142",2,1,1,340000,2013-08-09
"117","2 Granville 2142",3,2,2,548000,2013-08-01
"118","2/40 Elizabeth Street Granville 2142",3,2,2,675000,2013-08-01
"119","T2/25-27 Dixmude Street Granville 2142",5,2,2,595000,2013-07-08
"120","3/63 Victoria Street Granville 2142",4,3,2,570000,2013-07-01
"121","63-65 Victoria Street Granville 2142",3,2,2,488000,2013-07-01
"122","14/335 Blaxcell Street Granville 2142",3,2,2,425000,2013-05-06
"123","15/39-47 Wellington Road Granville 2142",3,2,1,365000,2013-04-20
"124","15/39-47 Wellington Rd Granville 2142",3,2,1,365000,2013-04-20
"125","11/23 Elizabeth Street Granville 2142",3,2,1,487000,2013-04-11
"126","1/18-22 HIGH STREET Granville 2142",3,1,1,415000,2013-04-05
"127","39 Wellington Road Granville 2142",3,1,2,365000,2013-04-01
"128","2/23-25 John Street Granville 2142",3,2,2,466000,2013-03-16
"129","2/23 John Street Granville 2142",3,NA,NA,466000,2013-03-01
"130","13/26 Elizabeth Street Granville 2142",3,1,1,430000,2013-02-01
"131","1/15 Marsden Street Granville 2142",2,1,1,298000,2012-12-01
"132","9/23 Elizabeth Street Granville 2142",3,2,2,498000,2012-12-01
"133","2/143 Blaxcell Street Granville 2142",3,2,2,4e+05,2012-11-28
"134","9/104-110 Elizabeth Street Granville 2142",3,2,2,425000,2012-09-24
"135","2/43 Crown Street Granville 2142",2,2,1,370000,2012-09-14
"136","5/166-168 The Trongate Granville 2142",3,2,2,458000,2012-07-31
"137","5/166 The Trongate Granville 2142",3,2,2,458000,2012-07-31
"138","7/54 William Street Granville 2142",2,1,1,350000,2012-07-25
"139","7/335-339 Blaxcell Street Granville 2142",3,2,2,390000,2012-07-14
"140","7/335-339 Blaxcell St Granville 2142",3,2,2,390000,2012-07-14
"141","5/43 Crown Street Granville 2142",2,1,1,6e+05,2012-07-01
"142","1/43 Crown Street Granville 2142",2,2,1,620000,2012-07-01
"143","4/43 Crown Street Granville 2142",2,2,1,615000,2012-07-01
"144","1/92-94 Clyde Street Granville 2142",3,2,1,415000,2012-06-29
"145","3/104-110 Elizabeth Street Granville 2142",3,2,2,432000,2012-06-21
"146","10/104 Elizabeth Street Granville 2142",3,2,2,420000,2012-06-12
"147","10/104-110 Elizabeth Street Granville 2142",3,2,2,420000,2012-06-12
"148","11/143-145 Blaxcell Street Granville 2142",3,3,2,395000,2012-06-09
"149","11/143 Blaxcell Street Granville 2142",3,3,2,395000,2012-06-09
"150","8/17-19 Wallace Street Granville 2142",3,2,2,382000,2012-06-01
"151","5/140 The Trongate Granville 2142",4,2,1,450000,2012-05-09
"152","5/36 Louis Street Granville 2142",3,2,2,685000,2012-05-01
"153","6/43 Crown Street Granville 2142",2,2,1,375000,2012-04-16
"154","1/50 William Street Granville 2142",2,1,1,525000,2012-04-01
"155","9/39-47 Wellington Road Granville 2142",2,2,1,349000,2012-03-15
"156","6/23 John Street Granville 2142",4,2,2,425000,2012-03-01
"157","1/104-110 Elizabeth street Granville 2142",4,4,2,536000,2012-03-01
"158","5/136 Railway Street Granville 2142",2,1,1,370000,2012-02-02
"159","3/23 Elizabeth Street Granville 2142",3,2,2,548000,2012-02-01
"160","6/39 Wellington Road Granville 2142",2,2,1,3e+05,2012-02-01
"161","6/39 Wellington Rd Granville 2142",2,2,1,3e+05,2012-02-01
"162","1/104 Elizabeth Street Granville 2142",4,4,2,536000,2012-01-01
"163","1 32 Alfred Street Granville 2142",3,2,1,531000,2012-01-01
"164","1/32 Alfred Street (Cnr Gray St) Granville 2142",3,2,1,531000,2012-01-01
"165","6/23 Elizabeth Street Granville 2142",3,2,2,548000,2011-12-12
"166","10/335-339 Blaxcell Street Granville 2142",3,2,2,395000,2011-12-09
"167","1/23 Elizabeth Street Granville 2142",4,3,2,588000,2011-12-07
"168","7/23 Elizabeth Street Granville 2142",3,2,2,498000,2011-12-01
"169","3/63-65 Victoria Street Granville 2142",3,2,2,711888,2011-11-29
"170","6/151-155 Blaxcell Street Granville 2142",3,2,1,380500,2011-11-08
"171","2/92 Clyde Street Granville 2142",3,NA,NA,405000,2011-11-01
"172","9/34 Elizabeth Street Granville 2142",3,1,1,360000,2011-11-01
"173","6/136 Railway Street Granville 2142",2,2,1,382000,2011-10-01
"174","2/162 William Street Granville 2142",3,2,2,395000,2011-09-14
"175","1/136 Railway Street Granville 2142",2,2,1,388000,2011-09-01
"176","3/9 Gray Street Granville 2142",3,2,2,710000,2011-09-01
"177","14/104-110 Elizabeth Street Granville 2142",3,3,3,385000,2011-08-08
"178","14/104-110 Elizabeth St Granville 2142",3,3,3,385000,2011-08-08
"179","2/136 Railway Street Granville 2142",2,2,NA,486000,2011-08-01
"180","3/136 Railway Street Granville 2142",2,2,1,515000,2011-08-01
"181","8/151 Blaxcell Street Granville 2142",3,2,1,370000,2011-07-30
"182","4/32 Alfred Street (Cnr Gray St) Granville 2142",3,2,1,520000,2011-07-15
"183","4 32 Alfred Street Granville 2142",3,2,1,520000,2011-07-01
"184","4/136 Railway Street Granville 2142",2,NA,NA,385000,2011-07-01
"185","4/32 Alfred Street (Cnr Gray St) Granville 2142",3,2,1,165000,2011-07-01
"186","6/162 William Street Granville 2142",3,2,2,370000,2011-06-17
"187","23 Elizabeth Street Granville 2142",3,2,1,2020000,2011-06-09
"188","9/151 Blaxcell Street Granville 2142",3,2,2,412500,2011-06-01
"189","13/39-47 Wellington Road Granville 2142",3,2,2,355000,2011-05-25
"190","13/39-47 Wellington Rd Granville 2142",3,2,2,355000,2011-05-25
"191","3/37-41 Elizabeth Street Granville 2142",2,1,1,330000,2011-05-01
"192","3/37 Elizabeth Street Granville 2142",2,1,1,530000,2011-05-01
"193","9/143-145 Blaxcell Street Granville 2142",2,1,1,342000,2011-03-17
"194","4/149 Blaxcell Street Granville 2142",3,1,2,417000,2011-03-10
"195","4/149 Blaxcell Street Granville 2142",3,1,2,413500,2011-03-10
"196","10/143-145 Blaxcell Street Granville 2142",2,1,1,333000,2010-12-14
"197","1 143 Blaxcell Street Granville 2142",4,2,2,420000,2010-11-23
"198","4/92 Clyde Street Granville 2142",3,2,2,380000,2010-11-01
"199","3/317 BLAXCELL STREET Granville 2142",2,2,1,325000,2010-10-20
"200","6 124 RAILWAY STREET Granville 2142",2,1,1,353000,2010-10-15
"201","4/104-110 Elizabeth Street Granville 2142",3,2,1,370000,2010-10-06
"202","14/335 Blaxcell Granville 2142",3,1,1,379950,2010-10-01
"203","2/335 Blaxcell Street Granville 2142",3,2,1,303000,2010-09-30
"204","2 39-47 Wellington Road Granville 2142",2,2,1,298000,2010-09-11
"205","2/39-47 Wellington Road Granville 2142",2,2,1,298000,2010-09-11
"206","2/39-47 Wellington Rd Granville 2142",2,2,1,298000,2010-09-11
"207","14 39 Wellington Road Granville 2142",3,2,2,350000,2010-09-03
"208","14/39 Wellington Road Granville 2142",3,2,2,350000,2010-09-03
"209","14/39 Wellington Rd Granville 2142",3,2,2,350000,2010-09-03
"210","6/124 Railway Street Granville 2142",2,1,1,353000,2010-09-01
"211","1/17-19 Brussels Street Granville 2142",3,2,2,4e+05,2010-08-30
"212","3/124 RAILWAY STREET Granville 2142",2,2,1,369000,2010-08-23
"213","3/124 RAILWAY STREET Granville 2142",2,2,1,369000,2010-08-23
"214","8/67 Brunswick Street Granville 2142",3,2,1,398500,2010-08-09
"215","9/335-339 Blaxcell Street Granville 2142",3,2,2,356000,2010-06-10
"216","3/166 The Trongate Granville 2142",3,2,2,380000,2010-06-08
"217","3/1 Brussels Street Granville 2142",4,2,2,425000,2010-05-22
"218","9/26 Elizabeth Stret Granville 2142",3,2,2,395000,2010-04-27
"219","9/26 Elizabeth Street Granville 2142",3,2,2,395000,2010-04-27
"220","5/162 William Street Granville 2142",3,2,2,368000,2010-04-16
"221","3/59-61 Lavinia Street Granville 2142",2,2,1,307000,2010-03-09
"222","9/59-61 Lavinia Street Granville 2142",3,2,3,331000,2010-02-02
"223","5/104 Elizabeth Street Granville 2142",3,3,2,380000,2010-01-07
"224","5/104-110 Elizabeth Street Granville 2142",3,3,2,380000,2010-01-07
"225","10/104-110 Elizabeth Street Granville 2142",3,3,2,381500,2010-01-04
"226","1/104-110 Elizabeth Granville 2142",4,4,4,536000,2010-01-01
"227","5/50 William Street Granville 2142",2,1,1,428000,2009-12-01
"228","5/9 Gray St Granville 2142",2,1,2,335000,2009-11-18
"229","8/36-40 Louis Street Granville 2142",3,2,2,415000,2009-09-14
"230","11/36-40 Louis Street Granville 2142",3,2,2,409000,2009-09-04
"231","1/151 Blaxcell Street Granville 2142",3,2,2,320000,2009-08-01
"232","16/39 Wellington Road Granville 2142",3,2,2,305000,2009-06-30
"233","7/34-38 Elizabeth Street Granville 2142",3,2,1,368000,2009-06-20
"234","9/54 William Street Granville 2142",2,1,1,350000,2009-06-01
"235","5/17-19 Brussels street Granville 2142",3,2,1,345000,2009-05-04
"236","5/40 Elizabeth Street Granville 2142",3,1,2,367000,2009-05-01
"237","5/39 Wellington Road Granville 2142",2,2,1,260000,2009-02-06
"238","5/39 Wellington Rd Granville 2142",2,2,NA,250000,2009-02-06
"239","9/162 William Street Granville 2142",3,2,2,335000,2009-02-01
"240","8/54 William Street Granville 2142",2,1,1,265000,2009-02-01
"241","7/9 Gray Street Granville 2142",3,2,2,390000,2009-02-01
"242","1/162 William Street Granville 2142",2,2,2,280000,2009-01-01
"243","3/34-38 Elizabeth Street Granville 2142",3,2,2,360000,2008-12-29
"244","11 Tottenham Street Granville 2142",1,1,1,610000,2008-12-01
"245","6/104 Elizabeth Street Granville 2142",3,2,2,350000,2008-12-01
"246","4/335-339 Blaxcell Street Granville 2142",3,2,NA,289000,2008-11-11
"247","11/104 Elizabeth Street Granville 2142",3,1,NA,341000,2008-11-01
"248","1/92-94 Clyde Street Granville 2142",3,2,1,360000,2008-07-31
"249","9/22 Blaxcell Street Granville 2142",3,2,1,335000,2008-07-01
"250","26 Elizabeth Street Granville 2142",3,1,2,345000,2008-06-10
"251","39-45 Wellington Road Granville 2142",2,2,1,250000,2008-06-01
"252","3/28 Inkerman Street Granville 2142",3,2,2,425000,2008-03-01
"253","2/104 Elizabeth Street Granville 2142",3,2,2,330000,2007-12-01
"254","6/50 William Street Granville 2142",2,1,1,247000,2007-08-01
"255","7/65 Meehan Street Granville 2142",2,1,1,276000,2007-07-01
"256","4/26 Elizabeth Street Granville 2142",3,3,2,349000,2007-07-01
"257","8/335 Blaxcell Street Granville 2142",3,2,1,360000,2007-07-01
"258","4/113 Blaxcell Street Granville 2142",3,2,2,1700000,2007-06-01
"259","4/162 William Street Granville 2142",3,2,2,7e+05,2007-05-01
"260","4/18 The Trongate Granville 2142",2,1,2,225000,2007-05-01
"261","3/23 John Street Granville 2142",4,2,2,785000,2007-05-01
"262","7/104 Elizabeth Street Granville 2142",4,4,1,405000,2007-05-01
"263","4/2-4 Markey Street Granville 2142",3,2,2,310000,2007-03-03
"264","15/104 Elizabeth Street Granville 2142",2,2,2,350000,2007-03-01
"265","2/54 William Street Granville 2142",3,1,1,230000,2007-01-01
"266","9/335-339 Blaxcell Street Granville 2142",3,2,2,360000,2006-11-01
"267","4/335-339 Blaxcell Street Granville 2142",3,2,1,395000,2006-08-01
"268","6/36 Louis Street Granville 2142",3,2,2,385000,2006-07-01
"269","11 Kemp Street Granville 2142",2,1,2,360000,2006-07-01
"270","2/36 Louis Street Granville 2142",3,NA,NA,396500,2006-03-01
"271","138 Railway Street Granville 2142",2,1,1,485000,2006-03-01
"272","12/54 William Street Granville 2142",3,1,1,275000,2006-03-01
"273","10/335-339 Blaxcell Street Granville 2142",3,2,2,650000,2005-12-22
"274","3/10 Marsden Street Granville 2142",2,1,1,425000,2005-11-01
"275","6/92 Clyde Street Granville 2142",3,1,1,348000,2005-11-01
"276","7/17 Wallace Street Granville 2142",3,2,2,320000,2005-11-01
"277","5/9 Gray Street Granville 2142",2,1,2,530000,2005-09-01
"278","1/124 Railway Street Granville 2142",2,1,1,510000,2005-09-01
"279","4/170 The Trongate Granville 2142",3,2,2,330000,2005-06-01
"280","3/143 Blaxcell Street Granville 2142",3,2,2,382500,2005-05-01
"281","2/149 Blaxcell Street Granville 2142",3,1,1,330000,2005-04-01
"282","7/23 John Street Granville 2142",3,2,2,377000,2004-12-01
"283","1/166 The Trongate Granville 2142",3,NA,NA,353000,2004-12-01
"284","6/166 The Trongate Granville 2142",3,NA,NA,395000,2004-09-01
"285","2/124 Railway Street Granville 2142",2,1,1,385000,2004-09-01
"286","8/143 Blaxcell Street Granville 2142",2,1,1,320000,2004-09-01
"287","3/50 William Street Granville 2142",2,NA,NA,280000,2004-08-01
"288","6/143 Blaxcell Street Granville 2142",3,NA,NA,338000,2004-08-01
"289","8/23 John Street Granville 2142",3,NA,NA,375000,2004-07-01
"290","5/143 Blaxcell Street Granville 2142",3,NA,NA,385000,2004-06-01
"291","8/162 William Street Granville 2142",3,2,2,658000,2004-06-01
"292","3/162 William Street Granville 2142",3,2,1,390000,2004-05-01
"293","106 Elizabeth Street Granville 2142",3,2,2,450000,2004-05-01
"294","108 Elizabeth Street Granville 2142",3,2,2,450000,2004-05-01
"295","9/17 Wallace Street Granville 2142",3,2,2,388000,2004-05-01
"296","6/48 Pegler Avenue Granville 2142",3,2,1,380000,2003-09-01
"297","337 Blaxcell Street Granville 2142",3,2,1,550000,2003-08-01
"298","339 Blaxcell Street Granville 2142",3,2,1,890000,2003-08-01
"299","2/317 BLAXCELL Street Granville 2142",3,2,1,365000,2003-08-01
"300","5/317 Blaxcell Street Granville 2142",3,1,1,365000,2003-07-01
"301","1/317 Blaxcell Street Granville 2142",3,2,2,370000,2003-07-01
"302","6/27 John Street Granville 2142",3,1,1,391000,2003-06-01
"303","6/317 Blaxcell Street Granville 2142",3,2,1,560000,2003-06-01
"304","8/63-65 Victoria Street Granville 2142",4,3,2,298500,2002-10-25
"305","317 Blaxcell Street Granville 2142",2,2,1,7e+05,2002-06-01
"306","5/104-110 Elizabeth Street Granville 2142",3,3,2,259000,2002-06-01
"307","6/149 Blaxcell Street Granville 2142",2,1,2,520000,2002-04-01
